# run_id=clean_20260909_053522
# seed=42
# timestamp=2026-09-09T05:35:22.478665
run_id,timestamp,frame_id,fps,target_id,gt_x,gt_y,est_x,est_y,error_px,angular_error_deg,detection_confidence,detected,tracker_state,pan_cmd,tilt_cmd,pan_actual,tilt_actual,processing_time_ms
clean_20260909_053522,3.4000,102,54.5,beacon_01,658.52,344.61,658.52,344.61,24.08,1.2182,1.0000,1,TRACKING,11.9279,4.0487,11.9075,4.0264,16.43
clean_20260909_053522,3.4333,103,54.5,beacon_01,657.99,344.69,657.98,344.66,23.63,1.1986,1.0000,1,TRACKING,11.9478,4.0712,11.9279,4.0487,17.02
clean_20260909_053522,3.4667,104,54.5,beacon_01,657.47,344.77,657.46,344.74,23.20,1.1787,1.0000,1,TRACKING,11.9673,4.0934,11.9478,4.0712,17.74
clean_20260909_053522,3.5000,105,54.5,beacon_01,656.96,344.84,656.94,344.84,22.73,1.1576,1.0000,1,TRACKING,11.9860,4.1153,11.9673,4.0934,17.89
clean_20260909_053522,3.5333,106,54.5,beacon_01,656.47,344.91,656.46,344.87,22.36,1.1410,1.0000,1,TRACKING,12.0043,4.1375,11.9860,4.1153,16.32
clean_20260909_053522,3.5667,107,54.5,beacon_01,655.98,344.99,655.97,344.97,21.93,1.1215,1.0000,1,TRACKING,12.0220,4.1592,12.0043,4.1375,15.97
clean_20260909_053522,3.6000,108,54.5,beacon_01,655.50,345.05,655.49,345.12,21.48,1.1002,1.0000,1,TRACKING,12.0391,4.1805,12.0220,4.1592,15.97
clean_20260909_053522,3.6333,109,54.5,beacon_01,655.04,345.11,655.02,345.15,21.13,1.0849,1.0000,1,TRACKING,12.0557,4.2023,12.0391,4.1805,18.61
clean_20260909_053522,3.6667,110,54.5,beacon_01,654.58,345.18,654.56,345.25,20.72,1.0663,1.0000,1,TRACKING,12.0717,4.2236,12.0557,4.2023,16.44
clean_20260909_053522,3.7000,111,54.5,beacon_01,654.14,345.24,654.15,345.31,20.40,1.0519,1.0000,1,TRACKING,12.0875,4.2450,12.0717,4.2236,18.48
clean_20260909_053522,3.7333,112,54.5,beacon_01,653.70,345.30,653.67,345.36,20.03,1.0353,1.0000,1,TRACKING,12.1023,4.2664,12.0875,4.2450,16.66
clean_20260909_053522,3.7667,113,57.4,beacon_01,653.28,345.36,653.29,345.39,19.75,1.0233,1.0000,1,TRACKING,12.1171,4.2879,12.1023,4.2664,15.63
clean_20260909_053522,3.8000,114,57.4,beacon_01,652.86,345.43,652.84,345.47,19.39,1.0067,1.0000,1,TRACKING,12.1311,4.3089,12.1171,4.2879,15.70
clean_20260909_053522,3.8333,115,57.4,beacon_01,652.46,345.48,652.41,345.47,19.11,0.9950,1.0000,1,TRACKING,12.1446,4.3305,12.1311,4.3089,16.75
clean_20260909_053522,3.8667,116,57.4,beacon_01,652.07,345.55,652.08,345.50,18.87,0.9846,1.0000,1,TRACKING,12.1582,4.3518,12.1446,4.3305,17.52
clean_20260909_053522,3.9000,117,57.4,beacon_01,651.67,345.61,651.66,345.61,18.53,0.9687,1.0000,1,TRACKING,12.1708,4.3726,12.1582,4.3518,19.43
clean_20260909_053522,3.9333,118,57.4,beacon_01,651.30,345.66,651.31,345.66,18.27,0.9572,1.0000,1,TRACKING,12.1833,4.3935,12.1708,4.3726,16.47
clean_20260909_053522,3.9667,119,57.4,beacon_01,650.92,345.71,650.87,345.73,17.94,0.9423,1.0000,1,TRACKING,12.1948,4.4143,12.1833,4.3935,15.54
clean_20260909_053522,4.0000,120,57.4,beacon_01,650.57,345.76,650.52,345.73,17.73,0.9337,1.0000,1,TRACKING,12.2063,4.4354,12.1948,4.4143,15.89
clean_20260909_053522,4.0333,121,57.4,beacon_01,650.21,345.82,650.22,345.76,17.53,0.9249,1.0000,1,TRACKING,12.2176,4.4564,12.2063,4.4354,17.15
clean_20260909_053522,4.0667,122,57.4,beacon_01,649.86,345.88,649.85,345.86,17.24,0.9113,1.0000,1,TRACKING,12.2282,4.4767,12.2176,4.4564,18.60
clean_20260909_053522,4.1000,123,57.4,beacon_01,649.52,345.92,649.50,345.87,17.03,0.9026,1.0000,1,TRACKING,12.2384,4.4976,12.2282,4.4767,29.04
clean_20260909_053522,4.1333,124,57.4,beacon_01,649.19,345.98,649.14,345.96,16.75,0.8898,1.0000,1,TRACKING,12.2482,4.5179,12.2384,4.4976,16.76
